Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:39,2022-07-28 16:06:41,1.333s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:41,2022-07-28 16:06:43,2.842s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:43,2022-07-28 16:06:44,0.341s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:44,2022-07-28 16:06:44,0.415s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:06:44,2022-07-28 16:06:45,0.675s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:06:45,2022-07-28 16:07:01,16.580s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:06:45,2022-07-28 16:06:55,9.658s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:06:55,2022-07-28 16:06:56,1.950s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:56,2022-07-28 16:06:57,0.443s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:57,2022-07-28 16:06:58,1.192s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:58,2022-07-28 16:07:00,1.844s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:00,2022-07-28 16:07:00,0.341s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:00,2022-07-28 16:07:01,0.453s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:07:01,2022-07-28 16:07:01,0.690s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:07:01,2022-07-28 16:07:17,15.847s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:07:01,2022-07-28 16:07:10,8.901s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:07:10,2022-07-28 16:07:12,1.925s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:07:12,2022-07-28 16:07:13,0.440s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:13,2022-07-28 16:07:14,1.268s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:07:14,2022-07-28 16:07:16,1.669s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:16,2022-07-28 16:07:16,0.359s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:16,2022-07-28 16:07:16,0.426s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:07:16,2022-07-28 16:07:17,0.849s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:07:17,2022-07-28 16:07:33,15.755s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:07:17,2022-07-28 16:07:26,8.949s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:07:26,2022-07-28 16:07:28,1.908s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:07:28,2022-07-28 16:07:29,0.447s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:29,2022-07-28 16:07:30,1.311s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:07:30,2022-07-28 16:07:32,1.662s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:32,2022-07-28 16:07:32,0.361s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:07:32,2022-07-28 16:07:32,0.428s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:07:32,2022-07-28 16:07:33,0.682s,PASSED
